LaunchId,LaunchTime,LaunchStatus,RocketName,RocketOrganisation,Location,LaunchYear,Emissions
68,2019-03-02 07:49:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,1288350.0
69,2019-01-11 15:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019,1288350.0
73,2019-06-25 06:30:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,4473000.0
72,2019-06-12 14:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019,1288350.0
82,2020-05-30 19:22:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
83,2019-05-04 06:48:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
84,2020-06-30 20:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
85,2019-08-06 23:23:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
86,2019-04-11 22:35:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,4473000.0
89,2019-07-25 22:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
90,2020-08-30 23:18:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
92,2019-12-17 00:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
93,2020-12-13 17:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
94,2021-06-06 04:26:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
95,2019-12-05 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
96,2021-06-17 16:09:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
98,2020-03-07 04:50:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
99,2021-01-08 02:15:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
100,2020-11-21 17:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020,1288350.0
101,2020-11-05 23:24:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,1288350.0
104,2021-12-19 03:58:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,1288350.0
109,2021-06-03 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,1288350.0
108,2020-12-06 16:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
119,2019-08-19 12:12:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
170,2019-12-20 11:36:00+00:00,Success,Atlas V N22,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019,897750.0
262,2019-10-11 01:59:00+00:00,Success,Pegasus XL,Northrop,"Stargazer, Cape Canaveral SFS, Florida, USA",2019,85500.0
361,2021-06-15 13:35:00+00:00,Success,Minotaur I,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021,61275.0
366,2019-12-26 23:11:00+00:00,Success,Rokot/Briz KM,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019,385200.0
372,2019-04-17 20:46:00+00:00,Success,Antares 230,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019,771750.0
373,2019-11-02 13:59:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019,787500.0
374,2019-11-13 03:40:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019,142500.0
382,2019-02-21 16:47:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
383,2021-02-28 06:55:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021,863100.0
384,2019-07-05 05:41:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019,863100.0
387,2019-08-08 10:13:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019,960750.0
388,2020-03-26 20:18:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020,960750.0
389,2020-02-10 04:03:00+00:00,Success,Atlas V 411,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020,894600.0
390,2021-12-07 10:19:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021,960750.0
391,2020-05-17 13:14:00+00:00,Success,Atlas V 501,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020,894600.0
400,2020-11-13 22:32:00+00:00,Success,Atlas V 531,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020,945000.0
399,2020-07-30 11:50:00+00:00,Success,Atlas V 541,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020,945000.0
401,2021-09-27 18:12:00+00:00,Success,Atlas V 401,ULA,"SLC-3E, Vandenberg SFB, California, USA",2021,696150.0
406,2019-03-22 01:50:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2019,376750.0
407,2020-09-03 01:51:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020,376750.0
